[12:14:04] === Rozpoczęto nową grę ===
[12:14:04] [12:13:56] [LOG] Map builded.
[12:14:12] [12:14:12] The player is moved
[12:14:13] [12:14:13] The player is moved
[12:14:14] [12:14:14] The player is moved
[12:14:15] [12:14:15] The player is moved
[12:14:16] [12:14:16] The player is moved
[12:14:35] [12:14:35] The player is moved
[12:14:37] [12:14:37] The player is moved
[12:14:39] [12:14:39] The player is moved
[12:14:40] [12:14:40] The player is moved
[12:14:41] [12:14:41] The player is moved
[12:14:42] [12:14:42] The player is moved
[12:14:43] [12:14:43] The player is moved
[12:14:44] [12:14:44] The player is moved
[12:14:45] [12:14:45] The player is moved
[12:14:47] [12:14:47] The player is moved
[12:14:49] [12:14:49] The player is moved
[12:14:50] [12:14:50] The player is moved
[12:14:51] [12:14:51] The player is moved
[12:14:52] [12:14:52] The player is moved
[12:14:53] [12:14:53] The player is moved
[12:14:56] [12:14:56] Picked up a gold bar
[12:14:59] [12:14:59] The player is moved
[12:15:01] [12:15:01] The player is moved
[12:15:02] [12:15:02] The player is moved
[12:15:05] [12:15:05] Picked up 5 coins
[12:15:07] [12:15:07] The player is moved
[12:15:08] [12:15:08] The player is moved
[12:15:09] [12:15:09] The player is moved
[12:15:10] [12:15:10] The player is moved
[12:15:11] [12:15:11] The player is moved
